EVRWVNNC	400541214	34	210
KRAIJJEG	400704155	36	400
BGDCHPTW	400194651	34	321
GTJTZJTL	400392629	37	369
QATBWWNQ	400160951	38	285
FWTFSEHC	400276809	37	407
BOZXIGII	400859849	32	275
QMKSEKCI	400490655	39	309
DGLAZQJS	400348652	34	310
FQGCGAWX	400381720	33	320
XVFNYQPR	400957063	40	195
RFMXBLJN	400924137	40	452
PTIMOTIC	400902283	34	348
FTWUNBDU	400423916	40	298
DMZSLNXL	400010351	34	405
WYOBPDVZ	400674168	38	201
ZRARRJKB	400068203	35	158
HXWRNEXO	400022896	40	170
IESEWOJZ	400973998	35	221
WVBJJHLK	400365230	32	347
WQWPJRDT	400103738	35	403
IWUEZWVC	400338533	37	194
XHLYSPXK	400579576	30	154
VTQAWKQV	400100029	32	157
JUEZSSPK	400381199	31	257
PQZEWAUQ	400469520	31	262
TUOPMUOR	400301573	39	347
DVACWWTU	400877354	30	268
CBVXOECM	400009366	38	421
VDHUMENG	400747731	32	323
JNKZEJWI	400621651	31	351
JDFBZFLG	400444887	35	301
GCQTSHOG	400323322	36	309
AFAZJYDO	400309392	36	270
MZCZBULS	400178523	32	230
MQFMOSEI	400319566	35	264
MDLZERHQ	400234194	32	210
BSBUQGJV	400767814	34	333
YZWWHKDY	400743981	33	229
BYAOTIBX	400352503	30	354
KMGWIRNA	400945520	30	272
DJVGIQGD	400422497	31	183
GQYKTVXL	400630607	39	316
HOOIXLOQ	400701783	36	278
QDDNBHNU	400541279	38	292
OREWHBMB	400463655	40	428
VOQKXOQI	400751362	33	317
XTQIFGRX	400637875	32	351
YZNZBIJB	400743488	35	412
GYRXXEKZ	400807879	38	411
DVJILAVX	400203002	30	300
NCBSSRWS	400898972	33	298
RCPLVDLE	400350109	32	190
CIKQNCDU	400717682	31	250
WWYLSKUE	400548043	32	186
PBEWCYBP	400984437	39	173
LDJSFBZP	400579414	37	270
SZIRJNHH	400834952	34	379
QPOHCPSF	400499172	40	227
BYGIHEPF	400951876	35	398
MDGOGJEW	400645443	33	257
EZLCWQAT	400286019	37	191
AXOSVJPS	400405588	32	321
AXDLGSNS	400472585	37	204
KVNFZAGU	400545725	39	338
IRJAGGNO	400449158	32	278
TQAXKBHZ	400286670	36	261
TQAPUJGC	400025411	40	362
USSWYRXB	400989293	31	216
OSDZUCQI	400612198	35	248
OYYNYTSI	400154717	34	383
VHCLSFNC	400222990	30	185
EEKDCGCY	400689892	35	196
IXXCGRIS	400389539	34	158
GSELDSGK	400591122	38	425
NJQEBWMN	400388837	40	171
BZRRYOEN	400146083	33	210
BDCFANLI	400045817	37	435
WREOTZNT	400414996	36	284
TGBYYUMV	400624507	36	308
ISCEWHOE	400054903	32	173
UYVKKNJO	400869165	33	392
RWFBSTVH	400899431	30	155
VJBRCBMK	400311471	40	216
VVEHZGNR	400495149	39	200
YEJONLYR	400228652	35	343
VJIMBGVE	400382041	30	202
IJLDWTRX	400060361	31	324
UMWRUJCF	400186602	31	164
OYLDWCLK	400552641	37	271
DSBZDOER	400151920	34	230
TUFGMCPD	400761004	37	340
TWBXLTJY	400969755	36	224
SZOSPJGV	400100172	40	296
BTCMHZWY	400430647	38	156
KNFZSYUH	400906548	36	343
VZBWZJQJ	400737148	30	242
HZSSLYSB	400089346	34	188
NTEYFDIW	400859915	31	313
NFEXEEDX	400915947	31	337
